Reference	LeftContext	Pivot	RightContext
Alexandre, 59	malgré vous à vous plaindre engagée Respecte le	malheur où	vous êtes plongée. C'est ce trouble fatal qui vous ferme_les_yeux
Andromaque, 7	ne pouvait partager. Surtout je redoutais cette	mélancolie Où	j'ai vu si longtemps votre âme ensevelie. Je craignais que
Andromaque, 41	un hymen si longtemps négligé. Parmi les	déplaisirs où	son âme se noie, Il s'élève en la mienne une
Andromaque, 67	douleur en paraît soulagée. Pourquoi donc les	chagrins où	son âme est plongée   ? Contre un amant qui plaît pourquoi
Andromaque, 10	espérance. Ils n'ont pour avancer cette	mort où	je cours, Qu'à me dire une fois ce_qu'ils m'
Andromaque, 48	parle de moi. Fais -lui valoir l'	hymen, où	je me suis rangée   ; Dis-lui, qu'avant ma mort
Athalie, 72	détestée. Joas les touchera par sa noble	pudeur, Où	semble de son sang reluire la splendeur. Et Dieu par sa
Bérénice, 16	soin peut vous troubler ? Suivez les doux	transports où	l'amour vous invite. ANTIOCHUS_Arsace, je me vois chargé de
Bérénice, 25	fus chère à vos yeux, Éclaircissez le	trouble où	vous voyez mon âme. Que vous a dit Titus ? ANTIOCHUS_Au
Bérénice, 38	. Je vais vous annoncer Peut-être de les	malheurs, où	vous n'osez penser. Je connais votre coeur. Vous devez
Bérénice, 3	en ce moment je lui puisse annoncer Un	bonheur où	peut-être il n'ose plus penser. ARSACE_Ah quel heureux destin en
Bérénice, 4	succomber, Et j'ai honte de le	trouble où	je la vois tomber. J'ai vu devant mes yeux Rome
Britannicus, 104	n'ose encor démentir le pouvoir De ces	yeux, où	j'ai lu si longtemps mon devoir, Soit qu'à tant_de
Britannicus, 53	de les dieux, Madame, Éclaircissez le	trouble où	vous jetez mon âme, Parlez. Ne suis -je plus dans
Britannicus, 11	insensiblement dans les yeux de sa nièce L'	amour, où	je voulais amener sa tendresse, Mais ce lien de le sang
Esther, 41	sur son coeur. Enfin avec de les	yeux où	régnait la douceur, " Soyez reine ", dit -il ;
Iphigénie, 2	. ERIPHILE. Dieux, qui voyez ma	honte, où	me dois -je cacher ? Orgueilleuse rivale, on t'aime,
Iphigénie, 53	, à Achille. Et voilà donc l'	hymen où	j'étais destinée ! ARCAS. Le roi pour vous tromper feignait
Iphigénie, 3	d'entendre. Heureux, si dans le	trouble, où	flottent mes esprits, Je n'avais toutefois à craindre que ses
Mithridate, 25	obéir. Esclave couronnée Je partis pour l'	hymen où	j'étais destinée. Le roi qui m'attendait au_sein_de ses États
Mithridate, 49	puis. Je ne paraîtrai point dans le	trouble où	je suis. MITHRIDATE. Princes, quelques raisons que vous me
Mithridate, 52	, qui ne vous dura guère, Le	trouble où	vous jeta l'amour de votre père, Le tourment de me
Mithridate, 132	entends. Je sais pourquoi tu fuis l'	hymen où	je t'envoie. Il te fâche en ces lieux d'abandonner
Phèdre, 21	être fille, Qui peut-être rougis de le	trouble où	tu me vois, Soleil, je te viens voir pour la
Phèdre, 3	seule. Ô toi ! Qui vois la	honte où	je suis descendue, Implacable_Vénus, suis -je assez confondue ? Tu
Phèdre, 87	je m'abandonne à toi. Dans le	trouble où	je suis je ne peux rien pour moi. THÉSÉE. La
Phèdre, 54	le coupable. Que Phèdre explique enfin le	trouble où	je la vois. HIPPOLYTE. Où tendait ce discours qui m'
Phèdre, 118	nourrissent les faiblesses, Les poussent à le	penchant où	leur coeur est enclin, Et leur osent de le crime aplanir
Thébaïde, 27	aimé cette guerre barbare, Vous voyez les	malheurs où	le ciel m'a plongé. Mon fils est mort, Seigneur
Thébaïde, 3	où vous prîtes_naissance ; Et moi par un	bonheur où	je n'osais penser, L'_un_et_l'_autre à_la_fois je vous puis embrasser.
Thébaïde, 60	le maître : J'ai honte de les	horreurs où	je me vois contraint, Et c'est injustement que le peuple
