Reference	LeftContext	Pivot	RightContext
Alexandre, 56	faut disputer, Porus est l'ennemi qui	prétend vous l'ôter	. Pour ne vanter que lui, l'injuste renommée Semble oublier
Alexandre, 61	ces marques souveraines, Qu'un orgueilleux rival	ose ici dédaigner	. Porus vous fait servir, il vous fera régner. À
Alexandre, 15	l'abandonner, J'attendrai qu'un tyran	daigne nous pardonner	? TAXILE. Ne dites point, Seigneur, que le ciel
Alexandre, 35	amitié traîne un long esclavage : En_vain on	prétendrait n'obéir	qu'à_demi ; Si l'on n'est son esclave, on est
Alexandre, 44	ne nous coûtent rien, Seigneur ? L'	osez -vous croire	? Compterai -je pour rien la perte de ma gloire ? Votre
Alexandre, 4	honte à votre vue, Et puisqu'il n'	ose plus s'exposer	à les hasards, De quel front pourrait -il soutenir vos regards
Alexandre, 11	en_fait trop paraître. Cet esclave déjà m'	ose vanter	son maître, Il veut que je le serve... AXIANE.
Alexandre, 3	, Et que pour ce héros, j'	ose vous demander	Le repos qu'à vos rois il veut bien accorder. Après
Alexandre, 31	son bras nous octroie ? De quel front	ose -il prendre	sous son appui Des peuples qui n'ont point d'autre ennemi
Alexandre, 68	donner les couronnes. Et puisque votre orgueil	ose lui disputer	La gloire de le pardon qu'il vous fait présenter, Vos
Alexandre, 3	impatience... PORUS. Non, je ne	prétends point troubler	votre alliance. Éphestion aigri seulement contre moi, De vos soumissions
Alexandre, 12	faits. Mon coeur plein_de son nom n'	osait, je le confesse	, Accorder tant_de gloire avec tant_de jeunesse. Mais de ce même
Alexandre, 4	D'un odieux amant sans_cesse poursuivie, On	prétend malgré moi m'attacher	à la vie. On m'observe, on me suit.
Alexandre, 23	disputé jusqu'à les moindres lauriers. Et j'	ose dire	encor qu'en perdant la victoire, Mon ennemi lui-même a vu
Alexandre, 13	rang où Porus n'a plus droit de	prétendre, Il a trop recherché	la haine d'Alexandre. Il sait bien_qu'à regret je m'
Alexandre, 47	l'ai dit, Madame, et j'	ose encor vous dire	... CLÉOFILE. Seigneur, voici la reine. ALEXANDRE. Hé
Alexandre, 14	le va regarder, Si toutefois encore il	ose l'aborder	. ALEXANDRE. Non, Madame, mes soins ont assuré sa
Alexandre, 81	abaisser. Jusqu'à le dernier soupir vous m'	osez menacer	. En_effet ma victoire en doit être alarmée. Votre nom peut
Alexandre, 86	. Parlez donc. Dites -moi, Comment	prétendez -vous que je vous traite	? PORUS. En roi. ALEXANDRE. Hé bien, c'
Andromaque, 9	vous vois, Seigneur, et si j'	ose le dire	, Un destin plus heureux vous conduit en Épire. Le pompeux
Andromaque, 55	  ? PYLADE_Je vous abuserais, si j'	osais vous promettre	Qu'entre vos mains, Seigneur, il voulût la remettre.
Andromaque, 1	parlent par ma voix, Souffrez que j'	ose ici me flatter	de leur choix, Et qu'à vos yeux, Seigneur,
Andromaque, 10	main, les suivre sur les eaux.	Oserai -je, Seigneur, dire	ce_que je pense   ? Vous-même de vos soins craignez la récompense
Andromaque, 15	entier, tant_de fois triomphant, N'eût	daigné conspirer	que la mort d'un enfant   ? Mais à qui prétend
Andromaque, 16	d'un enfant   ? Mais à qui	prétend -on que je le sacrifie	  ? La Grèce a -elle encor quelque droit sur sa vie
Andromaque, 57	. À de moindres faveurs de les malheureux	prétendent, Seigneur. C'est	un exil que mes pleurs vous demandent. Souffrez que loin de
Andromaque, 5	vu percer Le seul, où mes regards	prétendaient s'adresser	. Ma flamme par Hector fut jadis allumée, Avec lui dans
Andromaque, 23	ANDROMAQUE_Ah   ! Seigneur, arrêtez. Que	prétendez -vous faire	  ? Si vous livrez le fils, livrez -leur donc la
Andromaque, 32	  ; S'il me perd, je	prétends qu'il me retrouve	en toi. Si d'un heureux hymen la mémoire t'est
Andromaque, 42	de me fermer_les_yeux. CÉPHISE_Ah   ! Ne	prétendez pas que je puisse	survivre... ANDROMAQUE_Non, non, je te défends, Céphise,
Andromaque, 6	muette à tant_d'ennui, N'a pas	daigné s'ouvrir	pour se plaindre de lui   ? Ah   ! Que je
Andromaque, 87	leur hymen s'apprête, Où vous n'	osez aller	mériter ma conquête. Là, de mon ennemi je saurai m'
Andromaque, 40	, pour se croire infidèle. Vous ne	prétendiez point m'arrêter	dans vos fers. J'ai craint de vous trahir, peut-être
Athalie, 13	mère, À qui j'ai par pitié	daigné servir	de père. JOSABET. Hélas ! de quel péril je l'
Athalie, 80	Confonds dans ses conseils une reine cruelle.	Daigne, daigne	, mon Dieu, sur Mathan et sur elle, Répandre cet
Athalie, 35	paru terrassée. Ses yeux comme effrayés n'	osaient se détourner	. Surtout, Eliacin paraissait l'étonner. JOSABET. Quoi donc
Athalie, 2	. ABNER. Madame, pardonnez si j'	ose le défendre	. Le zèle de Joad n'a point dû vous surprendre.
Athalie, 5	venez -vous chercher ? De ce temple profane	osez -vous approcher	? Avez -vous dépouillé cette haine si vive... ATHALIE. Prêtez
Athalie, 11	un peuple téméraire. Quoi_que son insolence ait	osé publier	, Le ciel même a pris soin de me justifier. Sur
Athalie, 31	qui le touche. JOSABET, tout_bas.	Daigne mettre	, grand Dieu, ta sagesse en sa bouche. ATHALIE.
Athalie, 141	partout, à mes côtés assis, Je	prétends vous traiter	comme mon propre fils. JOAS. Comme votre fils ? ATHALIE
Athalie, 15	entend sa voix, Et que ce Dieu	daigne instruire	lui-même ! Loin de le monde élevé, de tous les dons
Athalie, 38	de moi la fameuse querelle, Quand j'	osai contre lui disputer	l'encensoir, Mes brigues, mes combats, mes pleurs,
