Reference	LeftContext	Pivot	RightContext
Alexandre, 33	liberté que détruisent ses charmes, Elle rougit	de les fers qu'	on apporte en ces lieux, Et n'y saurait souffrir de
Alexandre, 14	main entrer dans nos États, Pour attaquer	de les rois qui	ne l'offensaient pas ? Nous l'aurons vu piller de les
Alexandre, 41	accueil honorons son passage, Et lui cédant	de les droits que	nous reprendrons bien, Rendons-lui de les devoirs qui ne nous coûtent
Alexandre, 41	les droits que nous reprendrons bien, Rendons-lui	de les devoirs qui	ne nous coûtent rien. PORUS. Qui ne nous coûtent rien
Alexandre, 52	bien m'obéir, N'est pas entre	de les mains qui	le puissent trahir. Non, je ne prétends pas jalouse de
Alexandre, 38	d'un si triste avantage, Et disposez	de les rois qu'	épargne son courroux, À recevoir un bien_qu'ils ne doivent qu'
Alexandre, 13	doit à les illustres exemples, Vous adorez	de les dieux qui	nous doivent leurs temples. De les héros qui chez vous passaient
Alexandre, 2	, trouvez -vous quelques charmes À voir couler	de les pleurs que	font verser vos armes ? Ou si vous m'enviez en l'
Alexandre, 16	les maux de la guerre ; Le punir	de les malheurs qu'	il a pu prévenir, Et de m'avoir forcé moi-même à
Andromaque, 19	qu'on vous demande   ? Dégagez -vous	de les soins dont	vous êtes chargé. ORESTE_Les refus de Pyrrhus m'ont assez dégagé
Andromaque, 69	, ta pitié te séduit. Laisse -moi	de les périls dont	j'attends tout le fruit. Porte à les Grecs cet enfant
Andromaque, 31	ma vengeance   ? Qui t'amène en	de les lieux où	l'on fuit ta présence   ? Voilà de ton amour le détestable
Athalie, 41	tout prêt à me percer. Lasse enfin	de les horreurs dont	j'étais poursuivie J'allais prier Baal de veiller sur ma vie
Bajazet, 33	Mon coeur pour tous discours N'avait que	de les soupirs qu'	il répétait toujours. Le ciel seul sait combien j'en ai
Bajazet, 23	longtemps immobile observé leur maintien. Enfin avec	de les yeux qui	découvraient son âme, L'une a tendu la main pour gage
Bajazet, 11	ses douleurs content de son amant ? Exempte	de les soupçons dont	je suis tourmentée, Ce n'est que pour ses jours qu'
Bajazet, 16	D'une esclave barbare esclave impitoyable. Précipite	de les jours qu'	elle me veut ravir, Montre-toi, s'il se peut,
Bérénice, 19	un tourment qu'elle ignore ? Toujours verser	de les pleurs qu'	il faut que je dévore ? Quoi ? Même en la perdant
Bérénice, 32	gloire et de puissance, Il vous souvient	de les lieux où	vous prîtes_naissance, Madame, il vous souvient que mon coeur en
Bérénice, 7	, et ses beautés. TITUS_Que dit -on	de les soupirs que	je pousse pour elle ? Quel succès attend -on d'un amour
Bérénice, 39	amour j'aurai le triste emploi De recueillir	de les pleurs qui	ne sont pas pour moi. ARSACE_Quoi ! Ne vous plairez -vous
Bérénice, 6	de votre âme. J'ai vu couler	de les pleurs qu'	il voulait retenir. BÉRÉNICE_Vient-il ? PHÉNICE_N'en doutez point, Madame
Bérénice, 20	trop prompt à me troubler, J'avance	de les malheurs que	je puis reculer. Et qui sait si sensible à les vertus
Bérénice, 16	, à vaincre sa faiblesse, À retenir	de les pleurs qui	m'échappent sans_cesse. Ou si nous ne pouvons commander à nos
Britannicus, 32	n'ose me placer. Mais il est	de les vertus que	je lui puis tracer. Je puis l'instruire au_moins, combien
Britannicus, 110	pour moi de langages secrets. J'entendrai	de les regards que	vous croirez muets Et sa perte sera l'infaillible salaire D'un
