Reference	LeftContext	Pivot	RightContext
Alexandre, 15	les rois qui ne l'offensaient pas ?	Nous l'aurons vu piller	de les provinces entières, Du sang de nos sujets faire enfler
Alexandre, 84	succomber, Au_moins c'est avec bruit qu'	on vous verra tomber	. La reine vient. Adieu. Vantez -lui votre zèle,
Alexandre, 25	, Seigneur, le croyez -vous, qu'	on me vît balancer	? Sais -je pas que Taxile est une âme incertaine, Que
Alexandre, 4	enfin sur ses bords flotter nos étendards.	Vous les verriez plantés	jusques sur vos tranchées, Et de sang et de morts vos
Alexandre, 69	pour la gloire. Bientôt le fer en_main	vous le verrez marcher	. PORUS. Allez_donc, je l'attends, ou je le
Alexandre, 6	valeur trompée Des maux que j'ai prévus	se voit enveloppée	. Ce n'est pas (car mon coeur respectant sa vertu
Alexandre, 28	devait moins hasarder ; Et moi-même en aveugle	on me verrait combattre	La sacrilège main qui le voudrait abattre. AXIANE. Quoi par
Alexandre, 31	un ennemi ? Et sur mon propre trône	on me verrait placée	Par le même tyran qui m'en aurait chassée ? TAXILE.
Alexandre, 9	trépas. Avant_que sur ses bords l'Inde	me vît paraître	, L'éclat de sa vertu me l'avait fait connaître.
Alexandre, 23	qu'en perdant la victoire, Mon ennemi	lui-même a vu croître	sa gloire, Qu'une chute si belle élève sa vertu,
Alexandre, 32	à ma douleur un spectacle assez doux De	le voir partager	cette gloire avec vous. ALEXANDRE. En_vain votre douleur s'arme
Alexandre, 35	arme contre ma gloire. Jamais on ne	m'a vu dérober	la victoire, Et par ces lâches soins qu'on ne peut
Alexandre, 89	pour vos intérêts tout me sera facile Quand	je les verrai joints	avec ceux de Taxile. Il vient. Je ne veux point
Alexandre, 10	moins que ne fait son malheur. Tant_qu'	on l'a vu suivi	d'une puissante armée, Ses forces, ses exploits ne m'
Alexandre, 30	, Bien mieux que tant_d'États, qu'	on m'a vu conquérir	Et que je n'ai gardés que pour vous les offrir.
Alexandre, 26	prévenir le soin qui te travaille. Va	le voir expirer	sur le champ de bataille. ALEXANDRE. Quoi Taxile ? CLÉOFILE
Andromaque, 9	peut entreprendre   ? Peut-être dans nos ports	nous le verrons descendre	, Tel qu'on a vu son père embraser nos vaisseaux,
Andromaque, 10	gloire, Et mon coeur aussi fier que	tu l'as vu soumis	, Croit avoir en l'amour vaincu mille ennemis. Considère,
Andromaque, 5	Par une main cruelle, hélas   !	J'ai vu percer	Le seul, où mes regards prétendaient s'adresser. Ma flamme
Andromaque, 51	père mort, et nos murs embrasés.	J'ai vu trancher	les jours de ma famille entière, Et mon époux sanglant traîné
Andromaque, 23	ce fils doit m'attendre. Et là	vous me verrez soumis	, ou furieux, Vous couronner, Madame, ou le perdre
Andromaque, 19	Quel plaisir d'élever un enfant, qu'	on voit croître	, Non_plus comme un esclave élevé pour son maître, Mais pour
Andromaque, 3	paix une si rude attaque, Vous qu'	on voyait frémir	à le seul nom d'Andromaque   ? Vous qui sans désespoir
Andromaque, 40	, ou spectateur. HERMIONE_Non, non,	il les verra triompher	sans obstacle, Il se gardera bien de troubler ce spectacle.
Athalie, 164	A vengé mes parents sur ma postérité.	J'aurais vu massacrer	et mon père, et mon frère, Du haut de son
Athalie, 24	qu'à son Dieu_Joad a consacré, Tu	lui verras subir	la mort la plus terrible. D'ailleurs pour cet enfant leur
Athalie, 46	un temple fut construit. Jérusalem pleura de	se voir profanée	. De les enfants de Lévi la troupe consternée En poussa vers
Athalie, 4	. Mais l'airain menaçant frémit de_toutes_parts.	On voit luire	de les feux parmi de les étendards. Et sans_doute Athalie assemble
Athalie, 15	voit encor la marque de le couteau.	On voit paraître	aussi sa fidèle nourrice, Qui cachée en un coin de ce
Bajazet, 39	champs de Babylone est déclaré vainqueur, Vous	les verrez soumis	rapporter dans Byzance_L'exemple d'une aveugle et basse obéissance. Mais
Bajazet, 80	fit sous moi la noble expérience. Toi-même	tu l'as vu courir	dans les combats Emportant après lui tous les coeurs de les soldats
