Oui	INT	oui
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
Agamemnon	NAM	Agamemnon
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
ton	DET:POS	ton
roi	NOM	roi
qui	PRO:REL	qui
t'	PRO:PER	te
éveille	VER:pres	éveiller
.	SENT	.
Viens	VER:pres	venir
,	PUN	,
reconnais	VER:pres	reconnaître
la	DET:ART	le
voix	NOM	voix
qui	PRO:REL	qui
frappe	VER:pres	frapper
ton	DET:POS	ton
oreille	NOM	oreille
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
vous	PRO:PER	vous
-même	ADJ	même
,	PUN	,
Seigneur	NAM	Seigneur
!	SENT	!
quel	PRO:REL	quel
important	ADJ	important
besoin	NOM	besoin
Vous	NAM	Vous
a	VER:pres	avoir
fait	VER:pper	faire
devancer	VER:infi	devancer
l'	DET:ART	le
aurore	NOM	aurore
de	PRP	de
si	ADV	si
loin	ADV	loin
?	SENT	?
À	PRP	à
peine	NOM	peine
un	DET:ART	un
faible	ADJ	faible
jour	NOM	jour
vous	PRO:PER	vous
éclaire	VER:pres	éclairer
et	KON	et
me	PRO:PER	me
guide	VER:pres	guider
.	SENT	.
Vos	DET:POS	votre
yeux	NOM	œil
seuls	ADJ	seul
et	KON	et
les	PRO:PER	la|le
miens	PRO:POS	mien
sont	VER:pres	être
ouverts	VER:pper	ouvrir
dans	PRP	dans
l'	DET:ART	le
Aulide	NOM	Aulide
.	SENT	.
Avez	VER:pres	avoir
-vous	PRO:PER	vous
dans	PRP	dans
les	DET:ART	le
airs	NOM	air
entendu	VER:pper	entendre
quelque	PRO:IND	quelque
bruit	NOM	bruit
?	SENT	?
Les	DET:ART	le
vents	NOM	vent
nous	PRO:PER	nous
auraient	VER:cond	avoir
-ils	PRO:PER	il
exaucés	VER:pper	exaucer
cette	PRO:DEM	ce
nuit	NOM	nuit
?	SENT	?
Mais	KON	mais
tout	PRO:IND	tout
dort	VER:pres	dormir
,	PUN	,
et	KON	et
l'	DET:ART	le
armée	NOM	armée
,	PUN	,
et	KON	et
les	DET:ART	le
vents	NOM	vent
,	PUN	,
et	KON	et
Neptune	NAM	Neptune
.	SENT	.
Heureux	NOM	heureux
!	SENT	!
Qui	PRO	qui
satisfait	VER:pper	satisfaire
de	PRP	de
son	DET:POS	son
humble	ADJ	humble
fortune	NOM	fortune
,	PUN	,
Libre	NAM	Libre
du	PRP:det	du
joug	NOM	joug
superbe	ADJ	superbe
