Quoi	PRO	quoi
savez	VER:pres	savoir
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
Nous	PRO:PER	nous
conduisons	VER:pres	conduire
tous	PRO:IND	tout
deux	NUM	deux
l'	DET:ART	le
esprit	NOM	esprit
de	PRP	de
l'	DET:ART	le
Empereur	NOM	empereur
,	PUN	,
Il	NAM	Il
partage	VER:pres	partager
entre	PRP	entre
nous	PRO:PER	nous
son	DET:POS	son
coeur	NOM	cœur
et	KON	et
sa	DET:POS	son
puissance	NOM	puissance
,	PUN	,
Et	NAM	Et
nous	PRO:PER	nous
dictons	VER:pres	dicter
toujours	ADV	toujours
les	DET:ART	le
ordres	NOM	ordre
qu'	PRO:REL	que
il	PRO:PER	il
dispense	VER:pres	dispenser
.	SENT	.
Du	PRP:det	du
rang	NOM	rang
que	PRO:REL	que
vous	PRO:PER	vous
tenez	VER:pres	tenir
confus	ADJ	confus
,	PUN	,
désespéré	VER:pper	désespérer
,	PUN	,
Pour	NAM	Pour
vous	PRO:PER	vous
en	PRP	en
dépouiller	VER:infi	dépouiller
j'	PRO:PER	je
ai	VER:pres	avoir
cent	NUM	cent
fois	NOM	foi|fois
conspiré	VER:pper	conspirer
,	PUN	,
Et	VER:pres	Et
vous	PRO:PER	vous
que	PRO:REL	que
contre	PRP	contre
moi	PRO:PER	moi
poussait	VER:impf	pousser
la	DET:ART	le
même	ADJ	même
envie	NOM	envie
Vous	NAM	Vous
avez	VER:pres	avoir
attaqué	VER:pper	attaquer
ma	DET:POS	mon
faveur	NOM	faveur
et	KON	et
ma	DET:POS	mon
vie	NOM	vie
;	PUN	;
Je	PRO:PER	je
ne	ADV	ne
craignais	VER:impf	craindre
que	KON	que
vous	PRO:PER	vous
,	PUN	,
vous	PRO:PER	vous
ne	ADV	ne
craigniez	VER:impf	craindre
que	KON	que
moi	PRO:PER	moi
;	PUN	;
Et	NOM	Et
puisqu'il	ADJ	puisqu'il
faut	VER:pres	falloir
ici	ADV	ici
parler	VER:infi	parler
de	PRP	de
bonne	ADJ	bon
foi	NOM	foi
,	PUN	,
C'	NAM	C'
était	VER:impf	être
avec	PRP	avec
raison	NOM	raison
que	KON	que
jaloux	ADJ	jaloux
l'	DET:ART	le
un	NOM	un
de	PRP	de
l'	DET:ART	le
autre	ADJ	autre
,	PUN	,
Vous	NAM	Vous
craigniez	VER:impf	craindre
mon	DET:POS	mon
pouvoir	NOM	pouvoir
,	PUN	,
que	PRO:REL	que
je	PRO:PER	je
craignais	VER:impf	craindre
le	PRO:PER	le
vôtre	PRO:POS	vôtre
,	PUN	,
Puisque	NAM	Puisque
chacun	PRO:IND	chacun
de	PRP	de
nous	PRO:PER	nous
estimant	VER:ppre	estimer
son	DET:POS	son
rival	NOM	rival
,	PUN	,
Tremblait	NAM	Tremblait
qu'	KON	que
à	PRP	à
sa	DET:POS	son
fortune	NOM	fortune
il	PRO:PER	il
ne	ADV	ne
devient	VER:pres	devenir
fatal	ADJ	fatal
;	PUN	;
Persuadés	VER:pper	persuader
tous	PRO:IND	tout
deux	NUM	deux
en	PRP	en
voulant	VER:ppre	vouloir
nous	PRO:PER	nous
détruire	VER:infi	détruire
,	PUN	,
Qu'	NOM	Qu'
un	NUM	un
de	PRP	de
nous	PRO:PER	nous
suffisait	VER:impf	suffire
pour	PRP	pour
gouverner	VER:infi	gouverner
l'	DET:ART	le
Empire	NAM	Empire
.	SENT	.
Souvent	ADV	souvent
nos	DET:POS	notre
démêlés	NOM	démêlé
étant	VER:ppre	être
prêts	ADJ	prêt
de	PRP	de
finir	VER:infi	finir
,	PUN	,
L'	DET:ART	le
Empereur	NOM	empereur
a	VER:pres	avoir
pris	VER:pper	prendre
soin	NOM	soin
de	PRP	de
les	PRO:PER	la|le
entretenir	VER:infi	entretenir
,	PUN	,
Nos	NOM	Nos
chagrins	ADJ	chagrin
l'	PRO:PER	la|le
ont	VER:pres	avoir
servi	VER:pper	servir
bien	ADV	bien
mieux	ADV	mieux
que	KON	que
notre	DET:POS	notre
zèle	NOM	zèle
;	PUN	;
Chacun	NAM	Chacun
de	PRP	de
nous	PRO:PER	nous
était	VER:impf	être
un	DET:ART	un
ministre	NOM	ministre
fidèle	ADJ	fidèle
,	PUN	,
Dont	VER:futu	Dont
les	DET:ART	le
yeux	NOM	œil
attachés	VER:pper	attacher
sur	PRP	sur
un	DET:ART	un
seul	NOM	seul
ennemi	ADJ	ennemi
,	PUN	,
Toujours	NOM	Toujours
dans	PRP	dans
son	DET:POS	son
devoir	NOM	devoir
le	PRO:PER	le
tenait	VER:impf	tenir
affermi	VER:pper	affermir
;	PUN	;
Ainsi	VER:pper	Ainsi
tant	ADV	tant
qu'	KON	que
ont	VER:pres	avoir
duré	VER:pper	durer
nos	DET:POS	notre
haines	NOM	haine
mutuelles	ADJ	mutuel
:	PUN	:
L'	DET:ART	le
Empereur	NOM	empereur
a	VER:pres	avoir
joui	VER:pper	jouir
du	PRP:det	du
fruit	NOM	fruit
de	PRP	de
nos	DET:POS	notre
querelles	NOM	querelle
;	PUN	;
Il	NAM	Il
faut	VER:pres	falloir
les	PRO:PER	la|le
terminer	VER:infi	terminer
,	PUN	,
le	DET:ART	le
jour	NOM	jour
en	PRO:PER	en
est	VER:pres	être
venu	VER:pper	venir
.	SENT	.
L'	DET:ART	le
État	NAM	État
de	PRP	de
cette	PRO:DEM	ce
Cour	NAM	Cour
,	PUN	,
Seigneur	NAM	Seigneur
vous	PRO:PER	vous
est	VER:pres	être
connu	VER:pper	connaître
,	PUN	,
Depuis	VER:simp	Depuis
près	ADV	près
de	PRP	de
deux	NUM	deux
mois	NOM	moi|mois
qu'	KON	que
en	PRO:PER	en
épousant	VER:ppre	épouser
Irène	NAM	Irène
,	PUN	,
L'	DET:ART	le
Empereur	NOM	empereur
s'	PRO:PER	se
est	VER:pres	être
lié	VER:pper	lier
d'	PRP	de
une	DET:ART	un
nouvelle	ADJ	nouveau
chaîne	NOM	chaîne
,	PUN	,
Qu'	NOM	Qu'
enlevant	VER:ppre	enlever
la	DET:ART	le
princesse	NOM	princesse
à	PRP	à
son	DET:POS	son
fils	NOM	fil|fils
malheureux	ADJ	malheureux
,	PUN	,
D'	NAM	D'
une	DET:ART	un
foi	NOM	foi
tant	ADV	tant
jurée	ADJ	juré
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
rompu	VER:pper	rompre
les	DET:ART	le
noeuds	NOM	nœud
.	SENT	.
Andronic	NAM	Andronic
tout	ADV	tout
entier	ADJ	entier
se	PRO:PER	se
livre	VER:pres	livrer
à	PRP	à
la	DET:ART	le
colère	NOM	colère
;	PUN	;
Et	NOM	Et
si	KON	si
dans	PRP	dans
ses	DET:POS	son
transports	NOM	transport
,	PUN	,
il	PRO:PER	il
épargne	VER:pres	épargner
son	DET:POS	son
père	NOM	père
,	PUN	,
S'	ADJ	S'
il	PRO:PER	il
le	PRO:PER	le
respecte	VER:pres	respecter
encore	ADV	encore
,	PUN	,
ah	INT	ah
!	SENT	!
Croyez	VER:pres	croire
que	KON	que
sur	PRP	sur
nous	PRO:PER	nous
Il	NOM	Il
en	PRO:PER	en
fera	VER:futu	faire
tomber	VER:infi	tomber
les	DET:ART	le
plus	ADV	plus
funestes	ADJ	funeste
coups	NOM	coup
;	PUN	;
Il	NAM	Il
impute	VER:pres	imputer
à	PRP	à
nos	DET:POS	notre
soins	NOM	soin
sa	DET:POS	son
triste	ADJ	triste
destinée	NOM	destinée
,	PUN	,
Il	NAM	Il
croit	VER:pres	croire
que	KON	que
pour	PRP	pour
résoudre	VER:infi	résoudre
un	DET:ART	un
second	NUM	second
hyménée	NOM	hyménée
,	PUN	,
Enfin	NOM	Enfin
pour	KON	pour
en	PRP	en
former	VER:infi	former
les	DET:ART	le
injustes	ADJ	injuste
liens	NOM	lien
,	PUN	,
L'	DET:ART	le
Empereur	NOM	empereur
a	VER:pres	avoir
suivi	VER:pper	suivre
vos	DET:POS	votre
conseils	NOM	conseil
et	KON	et
les	PRO:PER	la|le
miens	PRO:POS	mien
.	SENT	.
Nos	DET:POS	notre
périls	NOM	péril
sont	VER:pres	être
égaux	ADJ	égal
,	PUN	,
nos	DET:POS	notre
craintes	NOM	crainte
sont	VER:pres	être
communes	NOM	commune
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
associons	VER:pres	associer
nos	DET:POS	notre
coeurs	NOM	cœur
et	KON	et
nos	DET:POS	notre
fortunes	NOM	fortune
,	PUN	,
Et	NOM	Et
pour	PRP	pour
nous	PRO:PER	nous
maintenir	VER:infi	maintenir
,	PUN	,
hâtons	VER:pres	hâter
nous	PRO:PER	nous
de	PRP	de
dresser	VER:infi	dresser
Un	VER:futu	Un
rempart	NOM	rempart
qu'	KON	que
Andronic	NAM	Andronic
ne	ADV	ne
puisse	VER:subp	pouvoir
renverser	VER:infi	renverser
.	SENT	.
Je	PRO:PER	je
ne	ADV	ne
sais	VER:pres	savoir
si	KON	si
je	PRO:PER	je
puis	ADV	puis
avec	PRP	avec
quelque	PRO:IND	quelque
assurance	NOM	assurance
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
de	PRP	de
vos	DET:POS	votre
discours	NOM	discours
bannir	VER:infi	bannir
la	DET:ART	le
défiance	NOM	défiance
;	PUN	;
Mais	VER:impf	Mais
personne	ADV	personne
en	PRP	en
ces	PRO:DEM	ce
lieux	NOM	lieu
ne	ADV	ne
peut	VER:pres	pouvoir
nous	PRO:PER	nous
écouter	VER:infi	écouter
,	PUN	,
Nous	PRO:PER	nous
sommes	VER:pres	sommer|être
seuls	ADJ	seul
enfin	ADV	enfin
,	PUN	,
qu'	PRO:REL	que
aurais	VER:cond	avoir
-je	PRO:PER	je
à	PRP	à
redouter	VER:infi	redouter
,	PUN	,
Quand	NAM	Quand
vous	PRO:PER	vous
m'	PRO:PER	me
accuserez	VER:futu	accuser
votre	DET:POS	votre
seul	ADJ	seul
témoignage	NOM	témoignage
Ne	NAM	Ne
peut	VER:pres	pouvoir
contre	PRP	contre
ma	DET:POS	mon
foi	NOM	foi
donner	VER:infi	donner
le	DET:ART	le
moindre	ADJ	moindre
ombrage	NOM	ombrage
,	PUN	,
Je	PRO:PER	je
connais	VER:pres	connaître
là-dessus	ADV	là-dessus
l'	DET:ART	le
esprit	NOM	esprit
de	PRP	de
l'	DET:ART	le
Empereur	NOM	empereur
;	PUN	;
Je	PRO:PER	je
vais	VER:pres	aller
donc	ADV	donc
vous	PRO:PER	vous
répondre	VER:infi	répondre
et	KON	et
vous	PRO:PER	vous
ouvrir	VER:infi	ouvrir
mon	DET:POS	mon
coeur	NOM	cœur
.	SENT	.
Seigneur	NOM	seigneur
,	PUN	,
de	PRP	de
vos	DET:POS	votre
avis	NOM	avis
je	PRO:PER	je
vois	VER:pres	voir
trop	ADV	trop
l'	DET:ART	le
importance	NOM	importance
,	PUN	,
Le	DET:ART	le
prince	NOM	prince
est	VER:pres	être
plus	ADV	plus
à	PRP	à
craindre	VER:infi	craindre
encore	ADV	encore
qu'	KON	que
on	PRO:PER	on
ne	ADV	ne
le	PRO:PER	le
pense	VER:pres	penser
.	SENT	.
Il	PRO:PER	il
régnera	VER:futu	régner
.	SENT	.
Comment	ADV	comment
nous	PRO:PER	nous
pourrons-nous	NOM	pourrons-nous
sauver	VER:infi	sauver
?	SENT	?
Pour	PRP	pour
moi	PRO:PER	moi
qui	PRO:REL	qui
fut	VER:simp	être
chargé	VER:pper	charger
du	PRP:det	du
soin	NOM	soin
de	PRP	de
l'	PRO:PER	la|le
élever	VER:infi	élever
,	PUN	,
Je	PRO:PER	je
me	PRO:PER	me
suis	VER:pres	suivre|être
fait	VER:pper	faire
longtemps	ADV	longtemps
une	DET:ART	un
pénible	ADJ	pénible
étude	NOM	étude
,	PUN	,
De	VER:simp	De
percer	VER:infi	percer
les	DET:ART	le
raisons	NOM	raison
de	PRP	de
son	DET:POS	son
inquiétude	NOM	inquiétude
.	SENT	.
Vous	PRO:PER	vous
savez	VER:pres	savoir
que	KON	que
toujours	ADV	toujours
solitaire	ADJ	solitaire
,	PUN	,
inquiet	ADJ	inquiet
,	PUN	,
Farouche	NAM	Farouche
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
paru	VER:pper	paraître
ne	ADV	ne
vivre	VER:infi	vivre
qu'	KON	que
à	PRP	à
regret	NOM	regret
:	PUN	:
Grâce	NOM	grâce
à	PRP	à
mes	DET:POS	mon
soins	NOM	soin
,	PUN	,
j'	PRO:PER	je
ai	VER:pres	avoir
lu	VER:pper	lire
jusqu'	PRP	jusque
au	PRP:det	au
fond	NOM	fond
de	PRP	de
son	DET:POS	son
âme	NOM	âme
,	PUN	,
J'	NAM	J'
ai	VER:pres	avoir
vu	VER:pper	voir
son	DET:POS	son
désespoir	NOM	désespoir
,	PUN	,
l'	DET:ART	le
ambition	NOM	ambition
l'	PRO:PER	la|le
enflamme	VER:pres	enflammer
,	PUN	,
Au	VER:simp	Au
désir	NOM	désir
de	PRP	de
régner	VER:infi	régner
sans	PRP	sans
cesse	NOM	cesse
abandonné	VER:pper	abandonner
,	PUN	,
Tout	NAM	Tout
lui	PRO:PER	lui
déplait	VER:impf	déplait
ici	ADV	ici
n'	ADV	ne
étant	VER:ppre	être
point	ADV	point
couronné	VER:pper	couronner
;	PUN	;
Quelque	NAM	Quelque
soin	NOM	soin
qu'	PRO:REL	que
on	PRO:PER	on
ait	VER:subp	avoir
pris	VER:pper	prendre
d'	PRP	de
abaisser	VER:infi	abaisser
son	DET:POS	son
courage	NOM	courage
,	PUN	,
De	VER:simp	De
dompter	VER:infi	dompter
son	DET:POS	son
orgueil	NOM	orgueil
dans	PRP	dans
un	DET:ART	un
long	ADJ	long
esclavage	NOM	esclavage
,	PUN	,
On	NAM	On
l'	PRO:PER	la|le
a	VER:pres	avoir
vu	VER:pper	voir
chaque	PRO:IND	chaque
jour	NOM	jour
loin	ADV	loin
de	PRP	de
s'	PRO:PER	se
humilier	VER:infi	humilier
Se	VER:pper	Se
raidir	VER:infi	raidir
contre	PRP	contre
nous	PRO:PER	nous
et	KON	et
devenir	VER:infi	devenir
plus	ADV	plus
fier	VER:infi	fier
;	PUN	;
Trop	NAM	Trop
instruit	VER:pres	instruire
de	PRP	de
ses	DET:POS	son
droits	NOM	droit
,	PUN	,
trop	ADV	trop
plein	ADJ	plein
de	PRP	de
sa	DET:POS	son
naissance	NOM	naissance
,	PUN	,
Il	NOM	Il
ne	ADV	ne
saurait	VER:cond	savoir
souffrir	VER:infi	souffrir
la	DET:ART	le
moindre	ADJ	moindre
dépendance	NOM	dépendance
;	PUN	;
Mais	VER:impf	Mais
surtout	ADV	surtout
j'	PRO:PER	je
ai	VER:pres	avoir
connu	VER:pper	connaître
que	KON	que
son	DET:POS	son
coeur	NOM	cœur
est	VER:pres	être
épris	VER:pper	éprendre
D'	ADJ	D'
une	DET:ART	un
invincible	ADJ	invincible
horreur	NOM	horreur
contre	PRP	contre
les	DET:ART	le
favoris	NOM	favori
;	PUN	;
Il	NAM	Il
voit	VER:pres	voir
notre	DET:POS	notre
pouvoir	NOM	pouvoir
dans	PRP	dans
la	DET:ART	le
Cour	NAM	Cour
de	PRP	de
son	DET:POS	son
père	NOM	père
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
comme	KON	comme
un	DET:ART	un
larcin	NOM	larcin
que	PRO:REL	que
nous	PRO:PER	nous
osons	VER:pres	oser
lui	PRO:PER	lui
faire	VER:infi	faire
,	PUN	,
Et	NOM	Et
si	KON	si
de	PRP	de
l'	DET:ART	le
Empereur	NOM	empereur
il	PRO:PER	il
souhaite	VER:pres	souhaiter
la	DET:ART	le
mort	NOM	mort
,	PUN	,
C'	NAM	C'
est	VER:pres	être
plus	ADV	plus
pour	PRP	pour
nous	PRO:PER	nous
punir	VER:infi	punir
que	KON	que
pour	PRP	pour
changer	VER:infi	changer
de	PRP	de
sort	NOM	sort
;	PUN	;
Voilà	NOM	Voilà
quel	PRO:REL	quel
est	VER:pres	être
le	DET:ART	le
prince	NOM	prince
,	PUN	,
et	KON	et
je	PRO:PER	je
puis	ADV	puis
dire	VER:infi	dire
encore	ADV	encore
,	PUN	,
Qu'	NAM	Qu'
il	PRO:PER	il
est	VER:pres	être
cher	ADV	cher
à	PRP	à
la	DET:ART	le
Cour	NAM	Cour
,	PUN	,
que	KON	que
le	DET:ART	le
peuple	NOM	peuple
l'	PRO:PER	la|le
adore	VER:pres	adorer
,	PUN	,
Dès	NAM	Dès
l'	DET:ART	le
enfance	NOM	enfance
affectant	VER:ppre	affecter
une	DET:ART	un
fausse	ADJ	faux
piété	NOM	piété
,	PUN	,
Il	NAM	Il
s'	PRO:PER	se
est	VER:pres	être
de	PRP	de
tout	PRO:IND	tout
l'	DET:ART	le
Empire	NOM	Empire
attiré	VER:pper	attirer
l'	DET:ART	le
amitié	NOM	amitié
;	PUN	;
Vous	NAM	Vous
voyez	VER:pres	voir
qu'	KON	que
il	PRO:PER	il
soutient	VER:pres	soutenir
les	DET:ART	le
rebelles	NOM	rebelle
bulgares	ADJ	bulgare
,	PUN	,
Chaque	NAM	Chaque
jour	NOM	jour
l'	DET:ART	le
envoyé	NOM	envoyé
de	PRP	de
ces	PRO:DEM	ce
peuples	NOM	peuple
barbares	ADJ	barbare
,	PUN	,
L'	DET:ART	le
entretient	VER:pres	entretenir
,	PUN	,
le	DET:ART	le
consulte	NOM	consulte
,	PUN	,
et	KON	et
près	ADV	près
de	PRP	de
l'	DET:ART	le
Empereur	NOM	empereur
,	PUN	,
Andronic	NAM	Andronic
l'	PRO:PER	la|le
a	VER:pres	avoir
flatté	VER:pper	flatter
de	PRP	de
toute	PRO:IND	tout
sa	DET:POS	son
faveur	NOM	faveur
;	PUN	;
Ah	NAM	Ah
!	SENT	!
Rendons	VER:pres	rendre
pour	KON	pour
la	DET:ART	le
paix	NOM	paix
leur	DET:POS	leur
projet	NOM	projet
inutile	ADJ	inutile
,	PUN	,
Que	VER:simp	Que
ferions-nous	NOM	ferions-nous
tous	PRO:IND	tout
deux	NUM	deux
dans	PRP	dans
un	DET:ART	un
état	NOM	état
tranquille	ADJ	tranquille
?	SENT	?
L'	DET:ART	le
Empereur	NOM	empereur
libre	ADJ	libre
alors	ADV	alors
des	PRP:det	du
craintes	NOM	crainte
et	KON	et
de	PRP	de
soins	NOM	soin
,	PUN	,
Étant	VER:ppre	être
plus	ADV	plus
absolu	VER:pper	absoudre
nous	PRO:PER	nous
écouterait	VER:cond	écouter
moins	ADV	moins
,	PUN	,
En	NOM	En
vain	ADJ	vain
de	PRP	de
sa	DET:POS	son
tendresse	NOM	tendresse
il	PRO:PER	il
nous	PRO:PER	nous
donne	VER:pres	donner
des	PRP:det	du
marques	NOM	marque
,	PUN	,
Il	NAM	Il
est	VER:pres	être
,	PUN	,
n'	ADV	ne
en	PRO:PER	en
doutez	VER:pres	douter
point	ADV	point
,	PUN	,
comme	KON	comme
tous	PRO:IND	tout
les	DET:ART	le
monarques	NOM	monarque
,	PUN	,
Qui	NAM	Qui
d'	PRP	de
une	DET:ART	un
égale	ADJ	égal
ardeur	NOM	ardeur
chérissent	VER:pres	chérir
nos	DET:POS	notre
pareils	NOM	pareil
,	PUN	,
Et	NOM	Et
des	PRP:det	du
plus	ADV	plus
grands	ADJ	grand
bienfaits	NOM	bienfait
achètent	VER:pres	acheter
leurs	DET:POS	leur
conseils	NOM	conseil
;	PUN	;
Tandis	NAM	Tandis
que	KON	que
le	DET:ART	le
désordre	NOM	désordre
,	PUN	,
où	PRO:REL	où
le	DET:ART	le
destin	NOM	destin
contraire	ADJ	contraire
Rendent	VER:subp	rendre
à	PRP	à
leur	DET:POS	leur
grandeur	NOM	grandeur
ce	PRO:DEM	ce
secours	NOM	secours
nécessaire	ADJ	nécessaire
.	SENT	.
Mais	KON	mais
après	PRP	après
le	DET:ART	le
danger	NOM	danger
,	PUN	,
à	PRP	à
l'	DET:ART	le
abri	NOM	abri
du	PRP:det	du
malheur	NOM	malheur
Leur	VER:cond	Leur
ardente	ADJ	ardent
amitié	NOM	amitié
perd	VER:pres	perdre
toute	PRO:IND	tout
sa	DET:POS	son
chaleur	NOM	chaleur
;	PUN	;
Nous	PRO:PER	nous
devenons	VER:pres	devenir
suspects	ADJ	suspect
en	PRP	en
cessant	VER:ppre	cesser
d'	PRP	de
être	VER:infi	être
utiles	ADJ	utile
.	SENT	.
Nos	DET:POS	notre
services	NOM	service
passés	VER:pper	passer
sont	VER:pres	être
de	PRP	de
faibles	ADJ	faible
asiles	NOM	asile
,	PUN	,
On	VER:simp	On
ne	ADV	ne
veut	VER:pres	vouloir
plus	ADV	plus
vous	PRO:PER	vous
voir	VER:infi	voir
avec	PRP	avec
les	DET:ART	le
mêmes	ADJ	même
yeux	NOM	œil
,	PUN	,
Ce	NAM	Ce
qu'	KON	que
on	PRO:PER	on
louait	VER:impf	louer
jadis	ADV	jadis
est	VER:pres	être
un	DET:ART	un
crime	NOM	crime
odieux	ADJ	odieux
,	PUN	,
Et	VER:ppre	Et
l'	DET:ART	le
exil	NOM	exil
,	PUN	,
la	DET:ART	le
prison	NOM	prison
,	PUN	,
que	PRO:REL	que
dis	VER:pres	dire
-je	PRO:PER	je
?	SENT	?
Une	DET:ART	un
mort	NOM	mort
prompte	ADJ	prompt
Chez	VER:pres	Chez
la	DET:ART	le
postérité	NOM	postérité
fait	VER:pres	faire
