Quoi	PRO	quoi
?	SENT	?
Vous	PRO:PER	vous
allez	VER:pres	aller
combattre	VER:infi	combattre
un	DET:ART	un
roi	NOM	roi
dont	PRO:REL	dont
la	DET:ART	le
puissance	NOM	puissance
Semble	ADJ	Semble
forcer	VER:infi	forcer
le	DET:ART	le
ciel	NOM	ciel
à	PRP	à
prendre	VER:infi	prendre
sa	DET:POS	son
défense	NOM	défense
;	PUN	;
Sous	NOM	sou
qui	PRO:REL	qui
toute	PRO:IND	tout
l'	DET:ART	le
Asie	NAM	Asie
a	VER:pres	avoir
vu	VER:pper	voir
tomber	VER:infi	tomber
ses	DET:POS	son
rois	NOM	roi
,	PUN	,
Et	NOM	Et
qui	PRO:REL	qui
tient	VER:pres	tenir
la	DET:ART	le
fortune	NOM	fortune
attachée	VER:pper	attacher
à	PRP	à
ses	DET:POS	son
lois	NOM	loi
?	SENT	?
Mon	DET:POS	mon
frère	NOM	frère
,	PUN	,
ouvrez	VER:pres	ouvrer|ouvrir
les	DET:ART	le
yeux	NOM	œil
pour	PRP	pour
connaître	VER:infi	connaître
Alexandre	NAM	Alexandre
,	PUN	,
Voyez	NAM	Voyez
de	PRP	de
toutes	PRO:IND	tout
parts	NOM	part
les	DET:ART	le
trônes	NOM	trône
mis	VER:pper	mettre
en	PRP	en
cendre	NOM	cendre
,	PUN	,
Les	DET:ART	le
peuples	NOM	peuple
asservis	VER:pper	asservir
,	PUN	,
et	KON	et
les	DET:ART	le
rois	NOM	roi
enchaînés	ADJ	enchaîné
,	PUN	,
Et	NAM	Et
prévenez	VER:pres	prévenir
les	DET:ART	le
maux	NOM	mal
qui	PRO:REL	qui
les	PRO:PER	la|le
ont	VER:pres	avoir
entraînés	VER:pper	entraîner
.	SENT	.
Voulez	VER:pres	vouloir
-vous	PRO:PER	vous
que	ADV	que
frappé	VER:pper	frapper
d'	PRP	de
une	DET:ART	un
crainte	NOM	crainte
si	ADV	si
basse	ADJ	bas
,	PUN	,
Je	PRO:PER	je
présente	VER:pres	présenter
la	DET:ART	le
tête	NOM	tête
au	PRP:det	au
joug	NOM	joug
qui	PRO:REL	qui
nous	PRO:PER	nous
menace	VER:pres	menacer
,	PUN	,
Et	NOM	Et
que	PRO:REL	que
j'	PRO:PER	je
entende	VER:subp	entendre
dire	VER:infi	dire
aux	PRP:det	au
peuples	NOM	peuple
indiens	ADJ	indien
,	PUN	,
Que	NAM	Que
j'	PRO:PER	je
ai	VER:pres	avoir
forgé	VER:pper	forger
moi	NOM	moi
-même	ADJ	même
et	KON	et
leurs	DET:POS	leur
fers	NOM	fer
et	KON	et
les	PRO:PER	la|le
miens	PRO:POS	mien
?	SENT	?
Quitterai	VER:futu	quitter
-je	PRO:PER	je
Porus	VER:simp	Porus
,	PUN	,
trahirai	VER:futu	trahir
-je	PRO:PER	je
ces	PRO:DEM	ce
princes	NOM	prince
,	PUN	,
Que	NAM	Que
rassemble	VER:pres	rassembler
le	DET:ART	le
soin	NOM	soin
d'	PRP	de
affranchir	VER:infi	affranchir
nos	DET:POS	notre
provinces	NOM	province
