Oui	INT	oui
,	PUN	,
Camille	NAM	Camille
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
vrai	ADJ	vrai
,	PUN	,
par	PRP	par
ce	PRO:DEM	ce
grand	ADJ	grand
hyménée	NOM	hyménée
Tous	VER:pres	Tous
nos	DET:POS	notre
maux	NOM	mal
sont	VER:pres	être
finis	VER:pper	finir
,	PUN	,
la	DET:ART	le
guerre	NOM	guerre
terminée	VER:pper	terminer
,	PUN	,
Et	VER:ppre	Et
l'	DET:ART	le
illustre	ADJ	illustre
Pyrrhus	NAM	Pyrrhus
en	PRP	en
me	PRO:PER	me
donnant	VER:ppre	donner
la	DET:ART	le
main	NOM	main
M'	ADJ	M'
assure	VER:pres	assurer
de	PRP	de
nouveau	ADJ	nouveau
le	DET:ART	le
pouvoir	NOM	pouvoir
souverain	ADJ	souverain
.	SENT	.
Que	KON	que
du	PRP:det	du
Peuple	NOM	peuple
autrefois	ADV	autrefois
la	DET:ART	le
criminelle	ADJ	criminel
audace	NOM	audace
Chassant	NAM	Chassant
AEacidès	NAM	AEacidès
nous	PRO:PER	nous
ait	VER:subp	avoir
mis	VER:pper	mettre
en	PRP	en
sa	DET:POS	son
place	NOM	place
,	PUN	,
C'	NAM	C'
est	VER:pres	être
un	DET:ART	un
crime	NOM	crime
du	PRP:det	du
sort	NOM	sort
qu'	PRO:REL	que
il	PRO:PER	il
faut	VER:pres	falloir
mettre	VER:infi	mettre
en	PRP	en
oubli	NOM	oubli
,	PUN	,
S'	ADJ	S'
il	PRO:PER	il
l'	PRO:PER	la|le
osa	VER:simp	oser
détrôner	VER:infi	détrôner
,	PUN	,
son	DET:POS	son
fils	NOM	fil|fils
est	VER:pres	être
rétabli	VER:pper	rétablir
,	PUN	,
Et	VER:ppre	Et
mon	DET:POS	mon
père	NOM	père
avec	PRP	avec
lui	PRO:PER	lui
partageant	VER:ppre	partager
sa	DET:POS	son
puissance	NOM	puissance
Confond	VER:pres	confondre
les	DET:ART	le
droits	NOM	droit
du	PRP:det	du
sang	NOM	sang
dans	PRP	dans
ceux	PRO:DEM	celui
de	PRP	de
l'	DET:ART	le
alliance	NOM	alliance
.	SENT	.
Chacun	PRO:IND	chacun
voit	VER:pres	voir
avec	PRP	avec
joie	NOM	joie
éclater	VER:infi	éclater
le	DET:ART	le
grand	ADJ	grand
jour	NOM	jour
Où	ABR	Où
le	DET:ART	le
don	NOM	don
de	PRP	de
ma	DET:POS	mon
foi	NOM	foi
va	VER:pres	aller
payer	VER:infi	payer|payer
son	DET:POS	son
amour	NOM	amour
;	PUN	;
Cette	NAM	Cette
heureuse	ADJ	heureux
union	NOM	union
charme	VER:pres	charmer
toute	PRO:IND	tout
l'	DET:ART	le
Épire	NOM	Épire
.	SENT	.
Dans	PRP	dans
ce	PRO:DEM	ce
bonheur	NOM	bonheur
public	ADJ	public
moi	PRO:PER	moi
seule	ADJ	seul
je	PRO:PER	je
soupire	VER:pres	soupirer
Et	VER:pper	Et
j'	PRO:PER	je
en	PRO:PER	en
sens	VER:pres	sentir
mes	DET:POS	mon
ennuis	NOM	ennui
d'	PRP	de
autant	ADV	autant
plus	ADV	plus
à	PRP	à
redoubler	VER:infi	redoubler
Qu'	NAM	Qu'
il	PRO:PER	il
faut	VER:pres	falloir
taire	VER:infi	taire
les	DET:ART	le
maux	NOM	mal
qui	PRO:REL	qui
me	PRO:PER	me
vont	VER:pres	aller
accabler	VER:infi	accabler
.	SENT	.
Ces	PRO:DEM	ce
maux	NOM	mal
que	PRO:REL	que
vous	PRO:PER	vous
craignez	VER:pres	craindre
me	PRO:PER	me
font	VER:pres	faire
peine	NOM	peine
à	PRP	à
comprendre	VER:infi	comprendre
.	SENT	.
Dans	PRP	dans
le	DET:ART	le
plus	ADV	plus
doux	ADJ	doux
accord	NOM	accord
que	PRO:REL	que
vous	PRO:PER	vous
puissiez	VER:subp	pouvoir
attendre	VER:infi	attendre
.	SENT	.
De	PRP	de
Pyrrhus	NAM	Pyrrhus
pour	KON	pour
régner	VER:infi	régner
le	DET:ART	le
droit	NOM	droit
est	VER:pres	être
si	ADV	si
certain	PRO:IND	certain
,	PUN	,
Que	VER:ppre	Que
le	DET:ART	le
trône	NOM	trône
pour	KON	pour
vous	PRO:PER	vous
dépendrait	VER:cond	dépendre
de	PRP	de
sa	DET:POS	son
main	NOM	main
,	PUN	,
Bien	ADJ	bien
plus	ADV	plus
que	KON	que
votre	DET:POS	votre
sang	NOM	sang
son	DET:POS	son
hymen	NOM	hymen
vous	PRO:PER	vous
l'	PRO:PER	la|le
assure	VER:pres	assurer
;	PUN	;
Et	NOM	Et
si	KON	si
parler	VER:infi	parler
pour	KON	pour
lui	PRO:PER	lui
n'	ADV	ne
est	VER:pres	être
point	ADV	point
vous	PRO:PER	vous
faire	VER:infi	faire
injure	NOM	injure
,	PUN	,
Il	NAM	Il
joint	VER:pres	joindre
tant	ADV	tant
de	PRP	de
mérite	NOM	mérite
à	PRP	à
la	DET:ART	le
splendeur	NOM	splendeur
du	PRP:det	du
sang	NOM	sang
...	PUN	...
La	DET:ART	le
vertu	NOM	vertu
passe	VER:pres	passer
en	PRP	en
lui	PRO:PER	lui
l'	DET:ART	le
avantage	NOM	avantage
du	PRP:det	du
rang	NOM	rang
.	SENT	.
De	PRP	de
mille	NUM	mille
exploits	NOM	exploit
fameux	ADJ	fameux
le	PRO:PER	le
brillant	VER:ppre	briller
témoignage	NOM	témoignage
Signale	NAM	Signale
sa	DET:POS	son
prudence	NOM	prudence
ainsi	KON	ainsi
que	KON	que
son	DET:POS	son
courage	NOM	courage
,	PUN	,
Son	VER:simp	Son
grand	ADJ	grand
coeur	NOM	cœur
pour	PRP	pour
la	DET:ART	le
gloire	NOM	gloire
avec	PRP	avec
plaisir	NOM	plaisir
s'	PRO:PER	se
émeut	VER:pres	émouvoir
,	PUN	,
Je	PRO:PER	je
le	PRO:PER	le
sais	VER:pres	savoir
;	PUN	;
mais	KON	mais
,	PUN	,
Camille	NAM	Camille
,	PUN	,
aime-t	VER:simp	aime-t
-on	PRO:PER	on
quand	ADV	quand
on	PRO:PER	on
veut	VER:pres	vouloir
,	PUN	,
Et	VER:simp	Et
quelque	PRO:IND	quelque
fier	ADJ	fier
devoir	NOM	devoir
dont	PRO:REL	dont
on	PRO:PER	on
suive	VER:subp	suivre
l'	DET:ART	le
Empire	NAM	Empire
,	PUN	,
L'	DET:ART	le
Amour	NAM	Amour
est-il	ADJ	est-il
un	DET:ART	un
Dieu	NOM	Dieu
qui	PRO:REL	qui
n'	ADV	ne
ose	VER:pres	oser
l'	PRO:PER	la|le
en	PRP	en
dédire	VER:infi	dédire
?	SENT	?
Je	PRO:PER	je
crois	VER:pres	croire
que	KON	que
le	DET:ART	le
temps	NOM	temps
seul	ADJ	seul
fait	VER:pres	faire
connaître	VER:infi	connaître
aux	PRP:det	au
Amants	NAM	Amants
De	VER:simp	De
la	DET:ART	le
vraie	ADJ	vrai
union	NOM	union
les	DET:ART	le
noeuds	NOM	nœud
les	DET:ART	le
plus	ADV	plus
charmants	ADJ	charmant
,	PUN	,
Mais	VER:impf	Mais
c'	PRO:DEM	ce
est	VER:pres	être
toujours	ADV	toujours
beaucoup	ADV	beaucoup
pour	PRP	pour
un	DET:ART	un
coeur	NOM	cœur
magnanime	ADJ	magnanime
Qu'	ADJ	Qu'
une	DET:ART	un
haute	ADJ	haut
vertu	NOM	vertu
le	PRO:PER	le
prépare	VER:pres	préparer
à	PRP	à
l'	DET:ART	le
estime	NOM	estime
,	PUN	,
Et	NOM	Et
que	KON	que
sur	PRP	sur
ce	PRO:DEM	ce
penchant	NOM	penchant
il	PRO:PER	il
se	PRO:PER	se
fasse	VER:subp	faire
une	DET:ART	un
loi	NOM	loi
...	PUN	...
Peut-être	NAM	Peut-être
est	VER:pres	être
-ce	PRO:DEM	ce
beaucoup	ADV	beaucoup
pour	PRP	pour
un	DET:ART	un
coeur	NOM	cœur
tout	ADV	tout
à	PRP	à
soi	PRO:PER	soi
,	PUN	,
Mais	VER:impf	Mais
comme	ADV	comme
,	PUN	,
quelque	PRO:IND	quelque
effort	NOM	effort
où	PRO:REL	où
ce	PRO:DEM	ce
coeur	NOM	cœur
se	PRO:PER	se
dispense	VER:pres	dispenser
,	PUN	,
Aimer	VER:infi	aimer
quand	KON	quand
on	PRO:PER	on
le	PRO:PER	le
veut	VER:pres	vouloir
passe	VER:pres	passer
notre	DET:POS	notre
puissance	NOM	puissance
,	PUN	,
Par	NAM	Par
un	DET:ART	un
contraire	ADJ	contraire
effet	NOM	effet
qui	PRO:REL	qui
brave	ADJ	brave
tous	PRO:IND	tout
nos	DET:POS	notre
soins	NOM	soin
On	NAM	On
aime	VER:pres	aimer
bien	ADV	bien
souvent	ADV	souvent
quand	KON	quand
on	PRO:PER	on
le	PRO:PER	le
veut	VER:pres	vouloir
moins	ADV	moins
.	SENT	.
Dieux	NOM	Dieu
,	PUN	,
qu'	PRO:REL	que
apprends	VER:pres	apprendre
-je	PRO:PER	je
!	SENT	!
Un	DET:ART	un
malheur	NOM	malheur
qui	PRO:REL	qui
n'	ADV	ne
a	VER:pres	avoir
point	ADV	point
de	PRP	de
semblable	ADJ	semblable
,	PUN	,
Que	VER:pper	Que
mille	NUM	mille
qualités	NOM	qualité
rendent	VER:pres	rendre
Pyrrhus	NAM	Pyrrhus
aimable	ADJ	aimable
,	PUN	,
Que	VER:subi	Que
j'	PRO:PER	je
en	PRO:PER	en
vois	VER:pres	voir
tout	ADV	tout
le	DET:ART	le
prix	NOM	prix
,	PUN	,
mais	KON	mais
que	KON	que
pour	PRP	pour
m'	PRO:PER	me
enflammer	VER:infi	enflammer
Il	NOM	Il
faudrait	VER:cond	falloir
que	KON	que
mon	DET:POS	mon
coeur	NOM	cœur
n'	ADV	ne
eût	VER:subi	avoir
su	VER:pper	savoir
jamais	ADV	jamais
aimer	VER:infi	aimer
.	SENT	.
Hippias	NOM	Hippias
...	PUN	...
Si	VER:ppre	Si
quelqu'un	PRO:IND	quelqu'un
dût	VER:subi	devoir
prétendre	VER:infi	prétendre
à	PRP	à
vous	PRO:PER	vous
plaire	VER:infi	plaire
,	PUN	,
Hippias	NOM	Hippias
seul	ADJ	seul
l'	PRO:PER	la|le
a	VER:pres	avoir
pu	VER:pper	pouvoir
sans	PRP	sans
être	VER:infi	être
téméraire	ADJ	téméraire
,	PUN	,
Il	NAM	Il
descend	VER:pres	descendre
de	PRP	de
nos	DET:POS	notre
Rois	NAM	Rois
;	PUN	;
mais	KON	mais
que	PRO:REL	que
sert	VER:pres	servir
un	DET:ART	un
beau	ADJ	beau
feu	NOM	feu
Dont	VER:futu	Dont
le	DET:ART	le
bien	NOM	bien
de	PRP	de
l'	DET:ART	le
État	NAM	État
ne	ADV	ne
souffre	VER:pres	souffrir
point	ADV	point
l'	DET:ART	le
aveu	NOM	aveu
?	SENT	?
Ce	PRO:DEM	ce
que	PRO:REL	que
vous	PRO:PER	vous
lui	PRO:PER	lui
devez	VER:pres	devoir
...	PUN	...
Va	NAM	Va
,	PUN	,
quoi	PRO:REL	quoi
que	KON	que
j'	PRO:PER	je
en	PRO:PER	en
soupire	VER:pres	soupirer
,	PUN	,
Sans	NAM	Sans
cesse	VER:pres	cesser
je	PRO:PER	je
me	PRO:PER	me
dis	VER:pres	dire
ce	PRO:DEM	ce
que	PRO:REL	que
tu	PRO:PER	tu
me	PRO:PER	me
veux	VER:pres	vouloir
dire	VER:infi	dire
,	PUN	,
Qu'	NOM	Qu'
au	PRP:det	au
rang	NOM	rang
où	PRO:REL	où
je	PRO:PER	je
suis	VER:pres	suivre|être
née	VER:pper	naître
un	DET:ART	un
coeur	NOM	cœur
comme	KON	comme
le	DET:ART	le
mien	PRO:POS	mien
Au	VER:pper	Au
repos	NOM	repos
de	PRP	de
l'	DET:ART	le
État	NAM	État
doit	VER:pres	devoir
immoler	VER:infi	immoler
le	DET:ART	le
sien	PRO:POS	sien
,	PUN	,
Qu'	ADJ	Qu'
arbitre	NOM	arbitre
de	PRP	de
la	DET:ART	le
paix	NOM	paix
il	PRO:PER	il
y	PRO:PER	y
va	VER:pres	aller
de	PRP	de
ma	DET:POS	mon
gloire	NOM	gloire
De	VER:futu	De
triompher	VER:infi	triompher
d'	PRP	de
un	DET:ART	un
feu	NOM	feu
que	PRO:REL	que
j'	PRO:PER	je
ai	VER:pres	avoir
trop	ADV	trop
osé	VER:pper	oser
croire	VER:infi	croire
,	PUN	,
Que	NAM	Que
qui	PRO:REL	qui
peut	VER:pres	pouvoir
balancer	VER:infi	balancer
est	VER:pres	être
indigne	ADJ	indigne
du	PRP:det	du
jour	NOM	jour
;	PUN	;
Mais	NAM	Mais
sont	VER:pres	être
-ce	PRO:DEM	ce
des	PRP:det	du
raisons	NOM	raison
pour	PRP	pour
consoler	VER:infi	consoler
l'	DET:ART	le
Amour	NAM	Amour
?	SENT	?
Ajoute	VER:pres	ajouter
à	PRP	à
ce	PRO:DEM	ce
tourment	NOM	tourment
la	DET:ART	le
douleur	NOM	douleur
sans	PRP	sans
égale	ADJ	égal
,	PUN	,
De	VER:simp	De
craindre	VER:infi	craindre
le	DET:ART	le
bonheur	NOM	bonheur
d'	PRP	de
une	DET:ART	un
aimable	ADJ	aimable
rivale	NOM	rival
.	SENT	.
Déidamie	NOM	Déidamie
,	PUN	,
hélas	INT	hélas
!	SENT	!
Si	KON	si
j'	PRO:PER	je
en	PRO:PER	en
sais	VER:pres	savoir
bien	ADV	bien
juger	VER:infi	juger
,	PUN	,
À	PRP	à
l'	DET:ART	le
amour	NOM	amour
d'	PRP	de
Hippias	NAM	Hippias
s'	PRO:PER	se
est	VER:pres	être
laissée	VER:pper	laisser
engager	VER:infi	engager
.	SENT	.
Quoi	PRO	quoi
,	PUN	,
la	DET:ART	le
soeur	NOM	sœur
de	PRP	de
Pyrrhus	NAM	Pyrrhus
!	SENT	!
Que	KON	que
dites	VER:pres	dire
-vous	PRO:PER	vous
,	PUN	,
Madame	NAM	Madame
?	SENT	?
J'	PRO:PER	je
ai	VER:pres	avoir
de	PRP	de
bons	ADJ	bon
